FSA_postal_code,BUILDING RENOVATOR,CLOTHING DROP BOX LOCATION PERMIT,COMMERCIAL PARKING LOT,DRAIN LAYER,DRIVEWAY PAVING CONTRACTOR,DRIVING INSTRUCTOR (V),DRIVING SCHOOL OPERATOR (B),DRIVING SCHOOL OPERATOR (V),EATING ESTABLISHMENT,HAWKER/PEDLAR ON FOOT,HAWKER/PEDLAR WITH MOTOR VEHICLE,HEATING CONTRACTOR,INSULATION INSTALLER,LAUNDRY,LIMOUSINE OWNER,MASTER HEATING INSTALLER,MASTER PLUMBER,MOBILE VENDING (FOOD TRUCK),MOTORIZED REFRESHMENT VEHICLE OWNER,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,PAWN SHOP,PAYDAY LOAN,PERSONAL SERVICES SETTINGS,PLACE OF AMUSEMENT,PLUMBING & HEATING CONTRACTOR,PLUMBING CONTRACTOR,PRECIOUS METAL SHOP,PRIVATE PARKING ENFORCEMENT AGENCY,PUBLIC GARAGE,PUBLIC HALL,RETAIL STORE (FOOD),SECOND HAND SHOP,SMOKE SHOP,TAXICAB BROKER,TAXICAB OWNER,TEMPORARY FIREWORKS VENDOR (OVER 25 KG),TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),TEMPORARY SIGN - A-FRAME,TEMPORARY SIGN - MOBILE,THEATRE,TORONTO TAXICAB OWNER,TOW TRUCK OWNER,BOWLING HOUSE,BUILDING CLEANER,COLLECTOR OF SECOND HAND GOODS,DRIVE-SELF RENTAL OWNER,HOLISTIC CENTRE,PERMANENT FIREWORKS VENDOR,VAPOUR PRODUCT RETAILER,AUCTIONEER,BILLIARD HALL,BODY RUB PARLOUR,CARNIVAL,DRAIN CONTRACTOR,LIMOUSINE SERVICE COMPANY,MOBILE VENDING (ICE CREAM TRUCK),PET SHOP,TEMPORARY MOBILE FIREWORKS VENDOR,ADVERTISING,SWIMMING POOL,SECOND HAND SALVAGE SHOP,SECOND HAND SALVAGE YARD,TEMPORARY LEASE FIREWORKS VENDOR,ADULT ENTERTAINMENT CLUB,BILL DISTRIBUTOR,ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,HAWKER/PEDLAR WITH PUSH CART,CHIMNEY REPAIRMAN,TAXICAB OPERATOR,TEMPORARY SIGN PROVIDER,SIDEWALK CAFE,SIDEWALK VENDING,TEMPORARY SIGN - GROUND-MOUNTED,PRIVATE TRANSPORTATION COMPANY,CIRCUS,TRANSIENT TRADER,MARKETING DISPLAY,TEMPORARY SIGN - NEW DEVELOPMENT,TEMPORARY SIGN - PORTABLE,CLOTHING DROP BOX OPERATOR,BATH HOUSE,AUTO SERVICE STATION,PEDICAB OWNER,CURBLANE VENDING,CURB LANE CAFE,BOATS FOR HIRE,SHORT TERM RENTAL COMPANY,MOTOR VEHICLE RACING
M1B,80,17,9,1,1,92,7,1,328,17,7,15,1,17,15,12,15,5,10,13,1,1,97,10,2,6,3,2,153,2,278,11,7,2,78,3,2,2,129,2,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1C,85,7,0,1,2,30,0,1,139,2,0,6,0,12,141,15,22,0,4,4,0,0,41,0,1,15,5,0,246,1,129,16,0,0,49,0,3,1,34,0,3,44,1,1,1,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1E,109,27,9,1,3,39,6,0,336,10,2,4,0,25,7,12,17,3,4,18,5,6,84,2,2,13,4,1,276,1,322,28,0,0,63,10,2,1,59,0,8,40,0,0,2,6,41,0,2,2,2,4,1,4,1,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1G,51,23,8,0,3,46,5,0,113,8,3,4,0,23,9,6,10,0,1,7,0,1,38,0,0,9,1,0,18,2,166,3,0,0,61,1,8,1,8,0,10,21,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1H,44,13,8,0,5,29,10,8,296,2,0,4,1,32,10,8,3,1,2,3,5,6,123,0,1,4,8,0,119,4,358,34,2,5,39,5,2,0,92,1,3,94,1,1,0,1,7,0,1,0,1,0,0,0,1,0,0,7,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1J,54,30,9,2,1,30,4,1,310,14,4,0,0,32,15,0,9,0,5,19,5,8,92,0,0,6,6,0,167,4,391,10,2,2,99,3,1,1,76,1,9,40,3,0,1,5,26,0,0,3,2,0,0,0,1,0,0,6,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1K,106,30,0,2,3,55,16,1,349,11,4,9,0,32,14,7,9,4,24,14,11,5,129,5,1,7,13,1,479,2,342,28,0,1,170,1,10,2,54,0,25,39,6,0,2,12,43,0,1,0,1,1,0,0,0,14,0,4,0,0,1,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1L,96,20,12,4,1,62,10,1,417,8,2,11,0,29,21,6,15,5,50,15,3,4,76,10,2,13,32,2,691,14,376,60,5,8,207,13,0,1,155,3,31,135,0,0,2,20,23,0,1,3,3,0,0,2,4,114,3,11,0,0,1,10,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1M,110,12,1,2,5,16,13,1,148,5,3,8,0,8,2,9,12,0,7,12,0,0,43,1,2,12,3,1,188,1,103,9,1,0,76,3,0,0,40,0,8,4,0,0,0,1,19,0,3,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1N,90,8,2,2,2,7,1,0,194,0,0,2,0,20,7,3,17,1,4,2,1,1,68,0,1,15,3,0,130,1,187,29,0,2,57,16,0,1,51,0,6,7,0,1,0,0,7,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
