FSA_postal_code,count_dispensaries,class,COMMERCIAL PARKING LOT,EATING ESTABLISHMENT,ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,HOLISTIC CENTRE,MOBILE VENDING (FOOD TRUCK),MOBILE VENDING (ICE CREAM TRUCK),RETAIL STORE (FOOD),SMOKE SHOP,VAPOUR PRODUCT RETAILER
M1B,6,1,9,328,0,0,5,0,278,7,0
M1C,2,0,0,139,0,5,0,0,129,0,1
M1E,2,0,9,336,0,41,3,5,322,0,2
M1G,0,0,8,113,0,0,0,0,166,0,0
M1H,3,1,8,296,0,7,1,0,358,2,1
M1J,6,1,9,310,1,26,0,0,391,2,0
M1K,4,1,0,349,1,43,4,14,342,0,1
M1L,5,1,12,417,0,23,5,114,376,5,1
M1M,2,0,1,148,0,19,0,0,103,1,3
M1N,2,0,2,194,0,7,1,0,187,0,0
M1P,7,1,21,597,1,37,2,0,592,2,2
M1R,5,1,1,435,0,26,11,6,456,2,3
M1S,3,1,2,614,0,107,2,1,514,6,1
M1T,5,1,12,268,0,54,3,0,274,0,0
M1V,5,1,2,865,0,132,5,0,655,1,2
M1W,0,0,3,229,0,22,2,0,251,3,0
M1X,3,1,0,61,0,0,1,0,67,1,1
M2B,0,0,0,0,0,0,0,0,0,0,0
M2G,0,0,0,1,0,0,0,0,0,0,0
M2H,0,0,13,214,0,8,1,0,104,0,0
M2J,2,0,34,434,0,19,0,0,293,8,0
M2K,3,1,14,123,0,12,1,0,119,7,0
M2L,0,0,0,33,0,0,0,0,24,2,0
M2M,3,1,11,409,0,38,5,0,220,10,3
M2N,5,1,71,942,2,123,3,0,560,18,7
M2P,0,0,15,36,0,0,0,0,27,0,0
M2R,2,0,5,98,0,11,2,0,121,1,0
M2S,0,0,0,0,0,1,0,0,1,0,0
M3A,1,0,8,84,0,35,1,0,79,2,0
M3B,1,0,14,280,0,1,0,0,88,4,0
M3C,2,0,31,318,0,7,1,0,188,8,3
M3G,0,0,1,0,0,0,0,0,0,0,0
M3H,8,1,7,290,0,44,2,71,244,5,0
M3J,7,1,13,716,4,84,2,1,269,3,1
M3K,2,0,2,234,0,28,0,0,217,1,0
M3L,1,0,2,139,4,4,0,2,136,2,0
M3M,1,0,7,131,0,4,0,0,153,0,0
M3N,1,0,6,207,0,15,0,1,216,5,1
M3P,0,0,0,0,0,0,0,0,4,0,0
M3Y,0,0,0,0,0,0,0,0,1,0,0
M4A,0,0,0,103,0,5,0,0,84,0,1
M4B,2,0,0,209,0,18,2,0,210,0,1
M4C,10,1,10,573,0,36,1,0,515,4,3
M4E,4,1,0,315,0,4,1,0,209,5,0
M4G,5,1,11,297,0,17,0,0,191,5,1
M4H,0,0,7,100,0,1,0,0,111,0,0
M4J,4,1,1,642,0,19,6,14,395,7,1
M4K,6,1,7,621,0,20,0,0,434,2,3
M4L,13,1,1,594,0,6,12,10,351,8,4
M4M,9,1,5,702,0,19,0,1,393,4,0
M4N,2,0,7,239,0,28,0,0,109,1,1
M4P,3,1,40,461,1,32,2,0,285,3,2
M4R,0,0,6,74,0,8,0,0,30,0,0
M4S,4,1,45,415,0,41,0,0,199,2,0
M4T,0,0,9,275,0,12,0,0,101,3,0
M4V,1,0,9,95,0,5,1,0,41,4,0
M4W,4,1,35,439,1,11,1,0,313,22,3
M4X,2,0,9,195,2,0,2,0,157,1,0
M4Y,6,1,52,856,0,92,0,0,318,9,6
